image,label,prompt,response
data/vlmdata/img_3.png,no_diabetic_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The image shows multiple abnormalities, including a macular lesion, a subretinal hemorrhage, and a subretinal hyperreflective lesion. These findings suggest that there are some issues in the retina and surrounding areas of the eye."
data/vlmdata/img_3.png,no_diabetic_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a macular lesion in the right eye. A macular lesion is an abnormality in the macula, which is the central part of the retina responsible for sharp, central vision. The lesion appears as a darker area on the fundus examination."
data/vlmdata/img_4.png,mild_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'This ophthalmic image is a retinal photograph, which is a visual representation of the retina, the light-sensitive tissue at the back of the eye. The image provides information about the structure and appearance of the retina, which can be helpful in diagnosing various eye conditions. However, without more specific details about the image or the patient's condition, it is difficult to provide a more detailed analysis."
data/vlmdata/img_4.png,mild_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The image shows multiple abnormalities, including a macular lesion, a subretinal hemorrhage, and a subretinal hyperreflective lesion. These findings are consistent with a diagnosis of choroidal neovascularization (CNV)."
data/vlmdata/img_4.png,mild_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a choroidal mass with a central stellate scar and a surrounding halo. This appearance is consistent with a choroidal melanoma, which is a type of eye cancer."
data/vlmdata/img_5.png,moderate_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'This is an ophthalmic image of the right eye. It shows a lesion in the right eye, which is an abnormal area or growth. The image is likely a retinal photograph, which is a type of eye examination that captures the back of the eye."
data/vlmdata/img_5.png,moderate_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows retinal detachment and macular edema. These are abnormalities in the eye that can affect vision and eye health.
data/vlmdata/img_5.png,moderate_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a lesion in the right eye. The lesion appears to be a hemangioma, which is a benign vascular tumor."
data/vlmdata/img_6.png,proliferative_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'This ophthalmic image shows a retinal detachment in the left eye. Retinal detachment is a serious condition where the retina, the light-sensitive layer of tissue at the back of the eye, separates from the underlying supportive tissue. This can lead to vision loss if not treated promptly."
data/vlmdata/img_6.png,proliferative_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows no abnormalities.
data/vlmdata/img_6.png,proliferative_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a retinal hemangioma, which is a benign vascular tumor in the retina. It is important to note that a healthcare professional should be consulted for a thorough evaluation and proper diagnosis."
data/vlmdata/img_7.png,proliferative_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The ophthalmic image is a retinal view of the right eye. It is a color image that provides a detailed view of the retina, which is the light-sensitive tissue at the back of the eye. The image is taken using a fundus camera, which is a specialized instrument used to examine the retina and other structures within the eye."
data/vlmdata/img_7.png,proliferative_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows retinal hemorrhage and exudates in the right eye.
data/vlmdata/img_7.png,proliferative_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a retinal hemorrhage, which is bleeding within the retina of the eye. This can be caused by various factors such as trauma, high blood pressure, or certain medical conditions."
data/vlmdata/img_8.png,no_diabetic_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The ophthalmic image is a fundus photograph, which is a type of retinal examination. It provides a detailed view of the retina, the light-sensitive tissue at the back of the eye. The image can help identify any abnormalities or changes in the retina, such as retinal detachment, macular degeneration, or other eye conditions. However, without more specific information about the image or the patient's condition, it is difficult to provide a detailed analysis."
data/vlmdata/img_8.png,no_diabetic_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows no abnormalities.
data/vlmdata/img_8.png,no_diabetic_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a retinal hemorrhage, which is bleeding within the retina. This can be caused by various factors such as trauma, high blood pressure, or certain medical conditions."
data/vlmdata/img_9.png,mild_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'This ophthalmic image is a fundus photograph, which is a type of retinal examination. It provides a detailed view of the retina and surrounding structures. The image is taken using a fundus camera, which is a specialized instrument designed for this purpose. The fundus photograph can help identify various retinal conditions, such as macular degeneration, diabetic retinopathy, glaucoma, and other eye diseases."
data/vlmdata/img_9.png,mild_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows no abnormalities.
data/vlmdata/img_9.png,mild_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a retinal hemorrhage, which is a type of bleeding that occurs in the retina. The hemorrhage appears as a red dot in the image."
